Rk,Player,Squad,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
1,Pape Abou Cisse,Olympiacos ,0,5,0,0,1,0,0,,20.5,1,0,0,0.4,0.4,0.08,-0.4,-0.4
2,Tammy Abraham,Chelsea ,1,6,2,33.3,2.33,0.78,0.17,0.5,11.3,0,0,0,0.9,0.9,0.15,0.1,0.1
3,Francesco Acerbi,Lazio ,0,3,1,33.3,0.5,0.17,0,0,14.8,0,0,0,0.2,0.2,0.06,-0.2,-0.2
4,Marcos Acuña,Sevilla ,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
5,Tyler Adams,RB Leipzig,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
6,Karim Adeyemi,RB Salzburg,1,2,1,50,3.4,1.7,0.5,1,15.9,0,0,0,0.6,0.6,0.28,0.4,0.4
7,Adrián,Liverpool ,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
8,Nayef Aguerd,Rennes ,0,3,0,0,0.98,0,0,,18.6,0,0,0,0.1,0.1,0.03,-0.1,-0.1
9,Sergio Agüero,Manchester City,2,1,1,100,0.86,0.86,1,1,3,0,1,1,1.4,0.7,0.66,0.6,0.3
10,Manuel Akanji,Dortmund ,0,2,1,50,0.5,0.25,0,0,20.1,1,0,0,0.1,0.1,0.07,-0.1,-0.1
11,Marley Aké,Marseille ,0,1,0,0,2.31,0,0,,4.1,0,0,0,0.1,0.1,0.09,-0.1,-0.1
12,Nathan Aké,Manchester City,0,1,1,100,0.5,0.5,0,0,7,0,0,0,0.1,0.1,0.15,-0.1,-0.1
13,Jean-Daniel Akpa-Akpro,Lazio ,1,3,1,33.3,0.99,0.33,0.33,1,13.8,0,0,0,0.4,0.4,0.13,0.6,0.6
14,David Alaba,Bayern Munich,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
15,Jordi Alba,Barcelona ,0,1,0,0,0.3,0,0,,14.9,0,0,0,0.1,0.1,0.06,-0.1,-0.1
16,Luis Alberto,Lazio ,0,5,3,60,1.4,0.84,0,0,20.4,0,0,0,0.4,0.4,0.08,-0.4,-0.4
17,Danijel Aleksi?,Ba?ak?ehir ,0,4,2,50,3.33,1.67,0,0,22.4,1,0,0,0.1,0.1,0.03,-0.1,-0.1
18,Carles Aleñá,Barcelona ,0,3,0,0,2.18,0,0,,24.7,0,0,0,0.1,0.1,0.02,-0.1,-0.1
19,Trent Alexander-Arnold,Liverpool ,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
20,Hasan Ali Kald?r?m,Ba?ak?ehir ,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
21,Alisson,Liverpool ,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
22,Éder Álvarez Balanta,Club Brugge,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
23,Edson Álvarez,Ajax ,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
24,Jordan Amavi,Marseille ,0,1,0,0,0.2,0,0,,32.4,0,0,0,0,0,0.01,0,0
25,Mikkel Andersen,Midtjylland ,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
26,Felipe Anderson,Porto ,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
27,Mikael Anderson,Midtjylland ,0,4,1,25,2.13,0.53,0,0,20.2,0,0,0,0.1,0.1,0.03,-0.1,-0.1
28,Joel Andersson,Midtjylland ,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
29,Oleksandr Andriyevskyi,Dynamo Kyiv,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
30,Angeliño,RB Leipzig,3,9,5,55.6,1.51,0.84,0.33,0.6,14.6,0,0,0,1.3,1.3,0.14,1.7,1.7
31,Faustino Anjorin,Chelsea ,0,2,0,0,2.28,0,0,,14.2,0,0,0,0.1,0.1,0.06,-0.1,-0.1
32,Marcos Antônio,Shakhtar ,0,1,1,100,0.37,0.37,0,0,27.1,0,0,0,0,0,0.04,0,0
33,Antony,Ajax ,1,9,7,77.8,2.26,1.76,0.11,0.14,19.7,0,0,0,0.7,0.7,0.07,0.3,0.3
34,Youssef El-Arabi,Olympiacos ,0,7,3,42.9,1.49,0.64,0,0,13.3,0,0,0,0.8,0.8,0.12,-0.8,-0.8
35,Ronald Araújo,Barcelona ,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
36,Ari,Krasnodar ,0,2,1,50,7.2,3.6,0,0,13.7,0,0,0,0.2,0.2,0.08,-0.2,-0.2
37,Bright Arrey-Mbi,Bayern Munich,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
38,Sergio Arribas,Real Madrid,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
39,Kepa Arrizabalaga,Chelsea ,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
40,Marco Asensio,Real Madrid,0,12,6,50,3.15,1.57,0,0,16.2,0,0,0,1,1,0.08,-1,-1
41,Majeed Ashimeru,RB Salzburg,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
42,Sardar Azmoun,Zenit ,0,8,1,12.5,2.5,0.31,0,0,11.4,0,0,0,0.8,0.8,0.11,-0.8,-0.8
43,César Azpilicueta,Chelsea ,0,2,0,0,0.5,0,0,,8.2,0,0,0,0.1,0.1,0.03,-0.1,-0.1
44,Demba Ba,Ba?ak?ehir ,1,9,3,33.3,2.46,0.82,0.11,0.33,19.4,0,0,0,1,1,0.11,0,0
45,Ousseynou Ba,Olympiacos ,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
46,Youssouph Badji,Club Brugge,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
47,Mitchel Bakker,Paris S-G,0,2,1,50,0.77,0.39,0,0,11.2,0,0,0,0.3,0.3,0.13,-0.3,-0.3
48,Leonardo Balerdi,Marseille ,0,1,0,0,0.36,0,0,,14.3,0,0,0,0,0,0.03,0,0
49,Tudor B?lu??,Dynamo Kyiv,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
50,Nicolò Barella,Inter ,0,4,0,0,0.68,0,0,,16.8,0,0,0,0.3,0.3,0.08,-0.3,-0.3
51,Romário Baró,Porto ,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
52,Wílmar Barrios,Zenit ,0,1,0,0,0.18,0,0,,31.1,0,0,0,0,0,0.01,0,0
53,Alessandro Bastoni,Inter ,0,2,0,0,0.44,0,0,,16.9,0,0,0,0.1,0.1,0.04,-0.1,-0.1
54,Roko Baturina,Ferencváros ,0,1,1,100,2.37,2.37,0,0,8,0,0,0,0.2,0.2,0.18,-0.2,-0.2
55,Donny van de Beek,Manchester Utd,0,1,0,0,0.32,0,0,,13.6,0,0,0,0.1,0.1,0.05,-0.1,-0.1
56,Jude Bellingham,Dortmund ,0,6,1,16.7,1.6,0.27,0,0,19.5,0,0,0,0.5,0.5,0.08,-0.5,-0.5
57,Darío Benedetto,Marseille ,0,5,1,20,1.74,0.35,0,0,16,0,0,0,0.7,0.7,0.14,-0.7,-0.7
58,László Bénes,M'Gladbach ,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
59,Ramy Bensebaini,M'Gladbach ,2,3,1,33.3,1,0.33,0.33,1,14.5,1,1,1,1.1,0.3,0.11,0.9,0.7
60,Rodrigo Bentancur,Juventus ,0,4,1,25,0.94,0.24,0,0,22,0,0,0,0.1,0.1,0.03,-0.1,-0.1
61,Karim Benzema,Real Madrid,4,19,10,52.6,4.37,2.3,0.21,0.4,10.9,0,0,0,3.2,3.2,0.17,0.8,0.8
62,Marcus Berg,Krasnodar ,2,9,4,44.4,1.59,0.71,0.11,0.25,13.4,0,1,1,2.6,1.8,0.2,-0.6,-0.8
63,Mergim Berisha,RB Salzburg,4,17,9,52.9,3.24,1.72,0.24,0.44,15.1,1,0,0,3.1,3.1,0.18,0.9,0.9
64,Federico Bernardeschi,Juventus ,0,7,1,14.3,4.81,0.69,0,0,15.3,0,0,0,1,1,0.14,-1,-1
65,Miha Blaži?,Ferencváros ,0,3,0,0,0.5,0,0,,27.7,0,0,0,0.1,0.1,0.02,-0.1,-0.1
66,Daley Blind,Ajax ,0,1,0,0,0.22,0,0,,24.6,0,0,0,0,0,0.02,0,0
67,Jérôme Boateng,Bayern Munich,1,1,1,100,0.36,0.36,1,1,8,0,0,0,0.1,0.1,0.09,0.9,0.9
68,Franck Boli,Ferencváros ,2,6,5,83.3,6.67,5.56,0.33,0.4,12.1,0,0,0,1.8,1.8,0.32,0.2,0.2
69,Boli Bolingoli-Mbombo,Ba?ak?ehir ,0,1,0,0,0.24,0,0,,20.8,0,0,0,0,0,0.03,0,0
70,Valerii Bondar,Shakhtar ,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
71,Leonardo Bonucci,Juventus ,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
72,Endre Botka,Ferencváros ,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
